code_snippet,has_security_issues
"module out_of_bounds_write;
reg [7:0] array [0:9];
integer i;

initial begin
for (i = 0; i < 10; i = i + 1) begin
array[i] = i;
end

array[10] = 42;

for (i = 0; i < 10; i = i + 1) begin
$display(""array[%0d] = %0d"", i, array[i]);
end

$display(""Out-of-bounds write: array[10] = %0d"", array[10]);
end
endmodule",yes
"module test;

int my_array[5];

initial begin
my_array[7] = 10; // Out-of-bounds write
end

endmodule
",
"typedef enum {NOA, TIE_H, TIE_L} sig_type_t;
sig_type_t sig_type[8];
sig_type = new();

// Assigning values to array elements
sig_type[0] = TIE_H; // This is OK
sig_type[7] = TIE_L; // This is fine too
sig_type[8] = TIE_H; // sig_type[8] is out of range and will get NOA instead of TIE_H

// Explanation:
// - When assigning to sig_type[8], it's out of bounds (valid indices are 0 to 7).
// - SystemVerilog initializes the out-of-range element to 0 (NOA in this case).

// Note: Verilog does not perform compile-time or run-time checks for out-of-bounds assignments.
// It behaves similarly to hardware, where out-of-range writes are ignored.

// To avoid this issue, use dynamic arrays or ensure your index is within bounds.
",
"module sql_injection_example;
string user_input;
string query;

initial begin
// Simulate user input that includes SQL injection
user_input = ""'; DROP TABLE users; --"";

// Create SQL query with improper neutralization of user input
query = { ""SELECT * FROM users WHERE username = '"", user_input, ""';"" };

// Display the query
$display(""SQL Query: %s"", query);

// Hypothetical database query execution (for demonstration purposes)
// In a real environment, this would execute the query against a database
// execute_query(query);
end
endmodule
",yes
"class my_class;
variant my_var;
int data1;
real data2;
endvariant

function void some_function();
my_var = new();
my_var.data1 = 10;

// Some code...

delete my_var; // Variant deallocated

// Error: Using my_var after it's been deallocated
$display(""my_var.data1 = %0d"", my_var.data1);
endfunction
endclass
",
"module os_command_injection_example;
string user_input;
string command;

initial begin
// Simulate user input that includes malicious OS command
user_input = ""test.txt; rm -rf /"";

// Construct the OS command with improper neutralization of user input
command = { ""ls "", user_input };

// Display the command to be executed
$display(""OS Command: %s"", command);

// Hypothetical OS command execution (for demonstration purposes)
// In a real environment, this would execute the command in the OS shell
// system(command);
end
endmodule",yes
"module CommandInjectionExample;
string logFile;

// Assume logFile is set based on user input or other external sources

// Validate logFile to prevent command injection
function bit validateLogFile(string logFile);
// Implement your validation logic here
// For example, check if logFile contains only valid characters
// and doesn't include any special characters that could be used for injection
// Return 1 if valid, 0 otherwise
endfunction

initial begin
// ...

if (validateLogFile(logFile)) begin
// Execute the command (e.g., open the log file)
$system(""notepad.exe "" + logFile);
end else begin
$display(""Invalid log file selected."");
// Handle the error appropriately
end

// ...
end
endmodule
",yes
"module improper_input_validation_example;
int user_input;
int array[10];
int i;

initial begin
// Initialize the array with some values
for (i = 0; i < 10; i = i + 1) begin
array[i] = i;
end

// Simulate user input without validation
user_input = 15; // This value is intentionally out of valid range

// Use the user input as an array index without proper validation
$display(""Accessing array with user input:"");
$display(""array[%0d] = %0d"", user_input, array[user_input]);
end
endmodule
",yes
"class UserData;
string username;
string password;

// Assume these are set based on user input or other external sources

function void displayUserInfo();
$display(""Username: %s, Password: %s"", username, password);
endfunction
endclass

module Test;
UserData user;

initial begin
// For demonstration purposes, assume user input
user = new;
user.username = ""admin"";
user.password = ""secret123"";

// Display user info (vulnerable to improper input validation)
user.displayUserInfo();
end
endmodule
",yes
"class my_class;
int data;

function void set_data(input int value);
data = value; // No input validation
endfunction
endclass",yes
"module OutOfBoundsReadExample;
reg [7:0] myArray [0:3]; // A 4-element array of 8-bit values

initial begin
// Assume myArray is populated with some data
// For demonstration purposes, let's access an out-of-bounds index
myArray[4] = 8'b10101010; // Writing to index 4 (out of bounds)

// Attempt to read from an out-of-bounds index
$display(""Value at index 4: %b"", myArray[4]); // Out-of-bounds read
end
endmodule
",yes
"module out_of_bounds_read_example;
int array[10];
int i;

initial begin
// Initialize the array with some values
for (i = 0; i < 10; i = i + 1) begin
array[i] = i * 10;
end

// Attempt to read from an out-of-bounds index
i = 15; // Index is out of bounds (valid range: 0-9)
$display(""Attempting to read from index %0d"", i);
$display(""array[%0d] = %0d"", i, array[i]);
end
endmodule",yes
"module test;

int my_array[5];

initial begin
int i;
for (i = 0; i <= 5; i++) begin // Error: index out of bounds for i = 5
$display(""my_array[%0d] = %0d"", i, my_array[i]);
end
end

endmodule
",
"module FileReader;
string filename;

initial begin
// Assume 'filename' is set based on user input
// For demonstration purposes, let's assume the user input is ""../secret_file.txt""
filename = $sformatf(""../%s"", ""secret_file.txt"");

// Construct the full path
string full_path = $sformatf(""%s/%s"", $system(""pwd""), filename);

// Attempt to open the file
$fopen(full_path, ""r"");
if ($feof) begin
$display(""Error - file not found"");
end else begin
// Read the file data
// ...
$fclose;
end
end
endmodule",yes
"module path_traversal_example;
string user_input;
string base_path;
string file_path;
int file;
byte data[128];

initial begin
// Base directory (simulated)
base_path = ""/home/user/documents/"";

// Simulate user input that includes path traversal sequences
user_input = ""../etc/passwd""; // Path traversal input

// Construct the file path
file_path = { base_path, user_input };

// Display the file path
$display(""File Path: %s"", file_path);

// Attempt to open the file (hypothetical, not actual file operations)
// file = $fopen(file_path, ""r""); // This would attempt to open a file
// if (file) begin
// $fread(data, file);
// $fclose(file);
// end else begin
// $display(""Failed to open file: %s"", file_path);
// end
end
endmodule
",
